id,breed,breed_2,chonky,height,fur,is_kitten,tail_length,cat_face_only,face_smush,tail_fur,eye_colour_right,eye_colour_left,right_ear_size,left_ear_size,fur_type,comments
tonkinese_nafitgxaca.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,2,-1,4,4,6,
american bobtail shorthair_asarlnayeo.jpg,pixiebob longhair,pixiebob longhair,1,0,3,1,1,0,0,2,2,2,3,3,2,
american bobtail shorthair_bztniccepm.jpg,american bobtail,american bobtail,1,1,3,0,-1,0,0,2,2,2,4,4,4,
american bobtail shorthair_cccoaxslhx.jpg,american bobtail,american bobtail,1,1,3,0,-1,0,0,-1,5,5,3,3,3,
american bobtail shorthair_cluzoyygwb.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,3,3,4,4,2,
american bobtail shorthair_cqvcxlyigq.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,1,1,3,3,0,
american bobtail shorthair_ecbspabitd.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,2,2,3,3,2,
american bobtail shorthair_exwalbwbgg.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail shorthair_fdpxkwiida.jpg,american bobtail,american bobtail,1,1,3,0,-1,0,0,3,5,5,4,4,2,
american bobtail shorthair_gvgafnlfbp.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail shorthair_hfpxxtssoi.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,2,2,4,4,4,
american bobtail shorthair_jhbtdthqce.jpg,pixiebob longhair,pixiebob longhair,1,1,3,0,1,0,0,2,2,2,3,3,2,
american bobtail shorthair_jhgsuhxteb.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,2,2,4,4,2,
american bobtail shorthair_mamjjswchy.jpg,american bobtail,american bobtail,1,0,3,1,1,0,0,2,2,2,5,5,2,
american bobtail shorthair_nqyliqwfhz.jpg,american bobtail,american bobtail,1,0,3,1,1,0,0,2,1,1,3,3,2,
american bobtail shorthair_qfpapfbizw.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail shorthair_vmvyaqxpft.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,6,6,4,4,2,
american bobtail shorthair_ybvqbxzhaw.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,2,2,4,4,2,
american bobtail shorthair_yfavwkmith.jpg,american bobtail,american bobtail,1,0,3,1,1,0,0,2,2,2,4,4,0,
american bobtail shorthair_zfsmxvlnjj.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,-1,-1,3,3,2,
american bobtail_agtbbghfpq.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,-1,2,4,4,2,
american bobtail_aknftastct.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_alszezzsqe.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_auixaihksi.jpg,american bobtail,american bobtail,2,-1,3,0,-1,0,0,-1,5,5,4,4,2,
american bobtail_bibdwlhsmb.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_bvsqeszglh.jpg,american bobtail,american bobtail,1,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_cctxseejpu.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_cxtsogpyae.jpg,american bobtail,american bobtail,-1,-1,3,0,-1,1,0,-1,5,5,-1,-1,-1,
american bobtail_drchaweosk.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,2,2,4,4,2,
american bobtail_fkhnjjqklc.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_ibkkfxqiyf.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_kzcqcbhtyi.jpg,american bobtail,american bobtail,-1,-1,3,0,-1,1,0,-1,5,5,4,4,-1,
american bobtail_lfkseudprn.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,3,3,4,4,2,
american bobtail_qlsgqtbeqv.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_qwvldezime.JPG,american bobtail,american bobtail,2,1,3,0,1,0,0,2,1,1,4,4,2,
american bobtail_tnqhlgnkik.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,-1,5,4,4,2,
american bobtail_tsbavcyyza.jpg,american bobtail,american bobtail,2,1,3,1,1,0,0,2,2,2,5,5,2,
american bobtail_uolzeyxdef.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_uqdysmufaw.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american bobtail_whjaysrcam.jpg,american bobtail,american bobtail,2,1,3,0,-1,0,0,-1,5,5,4,4,0,
american bobtail_wwzrhfpjcf.jpg,american bobtail,american bobtail,-1,-1,3,0,-1,1,0,-1,5,5,4,4,-1,
american bobtail_xzjbhsaknf.jpg,american bobtail,american bobtail,2,1,3,0,-1,0,0,-1,5,5,4,4,2,
american bobtail_ylzrdsuzcm.jpg,american bobtail,american bobtail,1,0,3,1,-1,0,0,-1,6,6,5,5,2,
american bobtail_zojhvidbko.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american curl longhair_znbtdjhyiv.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
american longhair_frlpiossfj.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,5,5,4,4,2,
minuet longhair_kaidnbwatg.jpg,american bobtail,american bobtail,2,1,3,0,1,0,0,2,1,1,4,4,2,
turkish angora_avbmmaddrq.JPG,american bobtail,american bobtail,1,1,3,0,-1,0,0,-1,2,2,4,4,2,
american bobtail shorthair_bsyrxnrxuy.jpg,domestic shorthair,american shorthair,-1,-1,2,0,-1,1,0,-1,2,2,3,3,2,
american bobtail shorthair_cblzusolcc.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,2,2,2,4,4,1,Padrão Lynx
american bobtail shorthair_jhaxaoiiss.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,-1,-1,3,3,2,
american bobtail shorthair_ldsqktisyd.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,5,5,4,4,2,
american bobtail shorthair_llgaemxcza.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,5,5,4,4,2,
american bobtail shorthair_oxzelodhto.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,5,5,3,3,2,
american bobtail shorthair_phvaslsizr.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,5,5,4,4,2,
american bobtail shorthair_xulgqtpulg.jpg,american bobtail shorthair,american bobtail shorthair,0,0,2,1,1,0,0,3,2,2,3,3,2,
american bobtail shorthair_yitfcnuepl.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,1,1,3,3,1,Padrão Lynx
american bobtail shorthair_ymqmwfmmyr.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,2,2,2,4,4,1,Padrão Lynx
american bobtail_bnvttphuji.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,2,2,4,4,2,
american bobtail_bucopgbzkr.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,5,5,4,4,2,
american bobtail_dhxqyieqvm.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,-1,0,0,-1,2,2,4,4,2,
american bobtail_hnbqcffbol.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,5,5,4,4,2,
american bobtail_jzindpsrxp.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,1,1,4,4,1,Pdrão Lynx
american bobtail_lpdbaaivfl.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,-1,2,4,4,3,
american bobtail_nsrgchrpgh.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,5,5,3,3,2,
american bobtail_vkanuyiwxa.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,5,5,4,4,2,
american bobtail_vxgbvcqtlf.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,5,5,4,4,2,
japanese bobtail longhair_hcsqwoaunx.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,2,2,4,4,2,
japanese bobtail longhair_issjbewjmh.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,3,2,2,4,4,2,
japanese bobtail_nxnzqyfvum.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,-1,-1,4,4,2,
kurilian bobtail longhair_cvswkxftkg.jpg,american bobtail shorthair,american bobtail shorthair,2,1,2,0,1,0,0,1,2,2,3,3,2,
kurilian bobtail_fsvbcecwse.jpg,american bobtail shorthair,american bobtail shorthair,1,1,2,0,1,0,0,1,5,5,4,4,2,
american curl longhair_bugdxtxmpi.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,2,2,2,2,3,
american curl longhair_cfimkukeqi.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,2,2,2,2,0,
american curl longhair_cmgewfmpyz.jpg,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,-1,5,5,2,2,5,
american curl longhair_dyqreehdks.gif,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,-1,1,1,2,2,1,Padrão Lynx
american curl longhair_fdnbxahuke.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,2,
american curl longhair_fivcjfmyan.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,2,
american curl longhair_fkyefohfnr.jpg,american curl longhair,american curl longhair,2,1,3,0,2,0,0,2,3,3,2,2,3,
american curl longhair_fnhaxdhkef.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,3,3,2,2,2,
american curl longhair_glpigbqexq.jpg,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,2,3,3,2,2,3,
american curl longhair_hkueamhwbh.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,3,3,2,2,2,
american curl longhair_hlyanjvnpf.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,2,2,2,2,4,
american curl longhair_iuvghovgmw.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,2,2,2,2,0,
american curl longhair_jzkhtxynsu.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,0,
american curl longhair_kpogjhpduw.jpg,american curl longhair,american curl longhair,1,-1,3,0,-1,0,0,-1,-1,-1,2,2,2,
american curl longhair_niwxxgathx.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,2,
american curl longhair_ohuvxjwtct.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,1,1,2,2,1,Padrão Lynx
american curl longhair_oyimmtajbv.jpg,american curl longhair,american curl longhair,1,0,3,1,-1,0,0,-1,1,1,2,2,3,
american curl longhair_phvgoycjpy.jpg,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,-1,5,5,2,2,0,
american curl longhair_tcvpsqidsl.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,1,1,2,2,1,Padrão Lynx
american curl longhair_tpeiicpgks.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,7,7,2,2,3,
american curl longhair_ukjhtwxtfs.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,-1,-1,-1,2,3,
american curl longhair_ulquoubjyl.jpg,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,2,5,5,2,2,3,
american curl longhair_uzrsrkmaob.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,2,2,2,2,3,
american curl longhair_vnodprxdmz.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,3,3,2,2,2,
american curl longhair_vrbchgkdpz.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,3,
american curl longhair_vwcfpeayxi.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,2,
american curl longhair_wwgulnecja.jpg,american curl longhair,american curl longhair,1,0,3,1,-1,0,0,-1,2,2,2,2,2,
american curl longhair_ywfjscynfa.jpg,american curl longhair,american curl longhair,1,-1,3,0,-1,0,0,-1,1,1,2,2,2,
american curl longhair_zjguurqomv.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,-1,2,-1,-1,2,2,2,
american curl shorthair_adkfkqoltl.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,2,2,2,2,0,
american curl shorthair_aychtlssua.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,5,
american curl shorthair_cvdbcixvtg.jpg,american curl longhair,american curl longhair,1,0,3,1,-1,0,0,-1,-1,-1,-1,2,0,
american curl shorthair_egupaulscb.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,3,
american curl shorthair_eonkgrlryt.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,1,1,2,2,1,Padrão Lynx
american curl shorthair_gbaaldulql.jpg,american curl longhair,american curl longhair,-1,-1,3,1,-1,1,0,-1,1,1,2,2,0,
american curl shorthair_getvfemfdq.jpg,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,-1,2,2,2,2,2,
american curl shorthair_gqcybyxeoy.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,2,2,2,2,4,
american curl shorthair_hwkytsesaa.jpg,american curl longhair,american curl longhair,1,0,3,1,2,0,0,1,1,1,2,2,4,
american curl shorthair_klieukbqhi.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,2,
american curl shorthair_lbqcphmqst.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,7,7,2,2,3,
american curl shorthair_pvgzpnagpx.jpg,american curl longhair,american curl longhair,1,-1,3,0,-1,0,0,-1,2,2,2,2,0,
american curl shorthair_rnwfwmrkzf.jpg,american curl longhair,american curl longhair,1,0,3,1,2,0,0,2,2,2,2,2,3,
american curl shorthair_tefeilehsl.jpg,american curl longhair,american curl longhair,1,0,3,1,-1,0,0,-1,1,1,2,2,0,
american curl shorthair_ugbpysggpe.jpg,american curl longhair,american curl longhair,2,1,3,0,-1,0,0,2,2,-1,2,2,2,
american curl shorthair_vcbtpsnlwo.jpg,american curl longhair,american curl longhair,-1,-1,3,0,-1,1,0,-1,2,2,2,2,3,
american longhair_mcnhpwhsnf.jpg,american curl longhair,american curl longhair,1,-1,3,0,-1,0,0,-1,2,2,2,2,5,
american longhair_ntvdbfnndo.jpg,american curl longhair,american curl longhair,1,1,3,0,-1,0,0,-1,1,1,2,2,1,Padrão Lynx
american longhair_obacppebas.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,2,
american longhair_puzcxllltg.jpg,american curl longhair,american curl longhair,1,1,3,0,2,0,0,2,5,5,2,2,3,
mekong bobtail_xhqjzjzrdj.jpg,american curl longhair,american curl longhair,-1,-1,3,1,-1,1,0,-1,1,1,2,2,3,
american curl longhair_fzquzlxtvw.jpg,american curl shorthair,american curl shorthair,-1,-1,2,0,-1,1,0,-1,2,2,2,2,2,
american curl longhair_swhjxtpbsf.jpg,american curl shorthair,american curl shorthair,1,1,2,0,2,0,0,1,5,5,2,2,4,
american curl longhair_tiaipsfvmo.jpg,american curl shorthair,american curl shorthair,1,1,2,0,-1,0,0,1,1,1,2,2,1,Padrão Lynx
american curl longhair_trahpmleyr.jpg,american curl shorthair,american curl shorthair,-1,-1,2,0,2,0,0,1,5,5,2,2,2,
american curl longhair_udpmptjgof.jpg,american curl shorthair,american curl shorthair,1,1,2,0,2,0,0,2,1,1,2,2,0,
american curl shorthair_ahwxmvairg.jpg,american curl shorthair,american curl shorthair,1,1,2,0,-1,0,0,-1,2,2,2,2,2,
american curl shorthair_joakgzjusi.jpg,american curl shorthair,american curl shorthair,2,-1,2,0,-1,0,0,-1,5,5,2,2,2,
american curl shorthair_jokoxbfpcr.jpg,american curl shorthair,american curl shorthair,-1,-1,2,1,-1,1,0,-1,1,1,2,2,3,
american curl shorthair_kuoxsacemb.gif,american curl shorthair,american curl shorthair,1,1,2,0,2,0,0,1,5,5,2,2,2,
american curl shorthair_lcrtgtitqp.jpg,american curl shorthair,american curl shorthair,1,1,2,0,2,0,0,1,5,5,2,2,2,
american curl shorthair_pgpsgtugum.jpg,american curl shorthair,american curl shorthair,-1,-1,2,0,-1,0,0,-1,7,7,2,2,2,
american curl shorthair_tyldlhamfl.jpg,american curl shorthair,american curl shorthair,1,-1,2,1,-1,0,0,-1,6,6,2,2,2,
american curl shorthair_utipfyydbb.jpg,american curl shorthair,american curl shorthair,1,-1,2,0,-1,0,0,-1,2,2,2,2,2,
american curl shorthair_wdiynzvetl.jpg,american curl shorthair,american curl shorthair,-1,-1,2,0,-1,1,0,-1,2,2,2,2,2,
american curl shorthair_ytbeztjejp.jpg,american curl shorthair,american curl shorthair,1,1,2,0,2,0,0,1,5,5,2,2,2,
american curl longhair_jrxhigsark.png,domestic longhair,american longhair,-1,-1,3,0,-1,0,0,-1,2,2,4,4,3,
american longhair_bhkloxfyih.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,7,7,4,4,3,
american longhair_cggijkslsz.jpg,domestic longhair,american longhair,-1,-1,3,0,-1,1,0,-1,2,2,-1,-1,3,
american longhair_czmamjwals.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,2,2,4,4,2,
american longhair_djojeojgnk.jpg,domestic longhair,american longhair,-1,-1,3,0,-1,0,0,-1,2,2,4,4,5,
american longhair_euttwinkyi.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,2,2,4,4,3,
american longhair_lmycqazixl.png,domestic longhair,american longhair,1,-1,3,0,-1,0,0,-1,5,5,4,4,0,
american longhair_lnuyysiimp.jpg,russian blue,russian blue,0,0,3,1,-1,0,0,-1,2,2,4,4,0,
american longhair_lzpgonjjed.jpg,domestic longhair,american longhair,-1,-1,3,0,-1,1,0,-1,3,3,4,4,-1,
american longhair_mlxpatscpi.JPG,domestic longhair,american longhair,1,1,3,0,-1,0,0,2,2,2,4,4,3,
american longhair_oehdheqbmb.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,2,2,4,4,2,
american longhair_sjrzxsbqsc.jpg,domestic longhair,american longhair,-1,-1,3,0,-1,1,0,-1,-1,7,-1,-1,3,
american longhair_sxlosueame.jpg,domestic longhair,american longhair,-1,-1,3,0,-1,1,0,-1,5,5,4,4,3,
american longhair_teftrbbpxr.jpeg,domestic longhair,american longhair,-1,-1,3,1,-1,1,0,-1,-1,-1,4,4,3,
american longhair_ulunwzeqkr.jpg,domestic longhair,american longhair,1,-1,3,0,2,0,0,2,2,2,4,4,2,
american longhair_vaxetwpqfu.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,2,2,4,4,5,
american longhair_vzpqarhfcf.jpg,domestic longhair,american longhair,-1,-1,3,0,-1,0,0,-1,2,2,4,4,3,
american longhair_wcvsntwvxc.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,7,7,4,4,2,
american longhair_ykjyvlzspj.jpg,domestic longhair,american longhair,1,1,3,0,2,0,0,2,2,2,4,4,3,
minuet_rgsalttbbq.jpg,domestic longhair,american longhair,1,0,3,1,2,0,0,2,6,6,5,5,3,
american bobtail shorthair_akdhhrbuts.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,3,3,3,3,2,
american bobtail shorthair_gismnnxnuj.jpg,domestic shorthair,american shorthair,1,-1,2,0,-1,0,0,-1,2,2,3,3,2,
american bobtail shorthair_kmlpardyqa.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american bobtail shorthair_zditmkdrym.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american curl shorthair_ikoohpwbzo.jpg,domestic shorthair,american shorthair,-1,-1,2,0,-1,0,0,-1,5,5,3,3,2,
american curl shorthair_jwnycptsmh.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american curl shorthair_xjvkobnrfy.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american longhair_bnvtrmqtsr.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american longhair_ctrorrecwp.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,2,2,3,3,2,
american longhair_dnlxjxrrrd.jpg,domestic shorthair,american shorthair,1,0,2,1,-1,0,0,-1,1,1,3,3,2,
american longhair_eztmdlhxpk.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american longhair_plgbycwjng.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,2,2,3,3,2,
american longhair_qchzumlykp.jpg,domestic shorthair,american shorthair,-1,-1,2,0,-1,1,0,-1,2,2,3,3,2,
american longhair_uanocacuag.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,5,5,3,3,2,
american wirehair_hmlhitqonh.jpg,domestic shorthair,american shorthair,1,-1,2,0,-1,0,0,-1,3,3,3,3,2,
AmericanShorthair-41327670_9988.jpg,domestic shorthair,american shorthair,1,1,2,0,-1,0,0,-1,5,5,3,3,2,
AmericanShorthair-41463604_9837.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,2,2,3,3,2,
AmericanShorthair-41520572_9736.jpg,domestic shorthair,american shorthair,1,1,2,0,-1,0,0,-1,2,2,3,3,2,
AmericanShorthair-41824959_9300.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,-1,-1,3,3,2,
AmericanShorthair-41905444_9168.jpg,domestic shorthair,american shorthair,1,-1,2,1,-1,0,0,-1,2,2,4,4,2,
AmericanShorthair-42291512_8525.jpg,domestic shorthair,american shorthair,1,0,2,1,2,0,0,1,5,5,4,4,2,
AmericanShorthair-42577738_8041.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,2,2,4,4,2,
Bengal-24363681_7629.jpg,domestic shorthair,american shorthair,1,1,2,0,2,0,0,1,-1,-1,-1,4,2,
european shorthair_tozrvzsume.jpg,domestic shorthair,american shorthair,1,-1,2,0,-1,0,0,-1,5,5,3,3,4,
european shorthair_vybcjlhbak.jpg,domestic shorthair,american shorthair,-1,-1,2,0,-1,1,0,-1,5,5,3,3,2,
european shorthair_zcsmazwlbi.jpg,domestic shorthair,american shorthair,-1,-1,2,0,-1,1,0,-1,2,2,3,3,2,
minuet longhair_ddvglcpwtt.jpg,domestic shorthair,american shorthair,1,0,2,1,-1,0,0,-1,1,1,3,3,2,
american wirehair_ajeeotlabr.jpg,american wirehair,american wirehair,1,1,2,0,2,0,0,1,5,5,4,4,0,
american wirehair_ckqrttygpz.jpg,american wirehair,american wirehair,1,1,2,0,2,0,0,1,2,2,4,4,3,
american wirehair_daqdktmsjl.jpg,american wirehair,american wirehair,1,-1,2,0,-1,0,0,-1,5,5,4,4,4,
